index,NC2,NC3,NC4,PCR-blank,S10,S11,S2,S3,S4,S5,S6,S7,S8,S9,Sed-blank-DIW,Sed-blank-filter,W1,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W2,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W3,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W4,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W5,W50,W51,W52,W53,W54,W55,W56,W57,W58,W59,W6,W60,W7,W8,W9,Zymo-Pos-Ctrl
D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Sva0485,0,0,0,0,0,20,80,0,0,46,9,7,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Legionellales,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,20,11,14,9,8,23,22,21,35,33,23,18,30,14,20,33,22,42,10,38,29,24,47,10,62,39,61,46,24,21,35,33,46,57,15,54,17,41,68,36,27,67,52,87,53,13,32,45,71,86,33,40,27,27,22,20,24,59,16,0,0,0
D_0__Bacteria;D_1__Verrucomicrobia;D_2__Verrucomicrobiae;D_3__Opitutales,0,0,0,0,0,0,0,5,0,0,14,25,3,17,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,6,0,0,0,0,0,6,6,0,0,0,0,0,0,7,15,13,15,19,14,0,0,0,0,0,0,0,0,6,0,0,11,0,0,0,0,0,12,0,6,0,0,0,0,5,0,5,0
D_0__Bacteria;D_1__Chloroflexi;D_2__Chloroflexia;D_3__Chloroflexales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,5,0,14,10,16,0,0,15,0,0,11,16,13,18,8,11,13,17,18,0,20,16,7,15,19,24,18,14,22,27,0,27,21,12,21,15,11,0,14,22,26,0,11,19,12,47,47,28,25,9,15,19,15,24,0,0,0,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales,0,0,0,0,0,0,11,0,0,0,0,2,6,0,0,0,0,0,8,0,2,0,0,16,0,0,0,0,0,0,0,0,0,0,0,7,0,10,0,18,0,14,3,9,0,0,15,0,0,0,0,18,0,0,0,0,17,0,13,0,0,0,0,0,18,12,0,12,11,0,11,0,25,9,0,0,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Desulfuromonadales,0,0,0,0,23,5,24,0,26,0,39,61,13,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,4,0,0,0,0,12,0
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 18;D_3__uncultured prokaryote,0,0,0,0,0,8,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Pseudomonadales,47,0,11,45,0,0,0,0,0,0,0,4,0,8,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102
D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Desulfarculales,0,0,0,0,0,34,44,0,0,21,0,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Verrucomicrobia;D_2__Verrucomicrobiae;D_3__Methylacidiphilales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,10,13,9,11,9,11,0,0,0,18,15,0,20,0,13,15,16,13,9,11,16,18,12,23,13,23,42,0,13,14,20,13,11,22,18,12,21,14,20,22,0,0,15,9,31,30,17,32,26,14,31,8,21,0,0,0,0
