index,NC2,NC3,NC4,PCR-blank,S10,S11,S2,S3,S4,S5,S6,S7,S8,S9,Sed-blank-DIW,Sed-blank-filter,W1,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W2,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W3,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W4,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W5,W50,W51,W52,W53,W54,W55,W56,W57,W58,W59,W6,W60,W7,W8,W9,Zymo-Pos-Ctrl
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Sphingobacteriales;D_4__NS11-12 marine group;D_5__uncultured Bacteroidetes bacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,0,9,12,10,12,8,13,15,0,0,0,8,7,12,0,0,0,10,13,11,20,0,11,13,14,14,12,0,14,17,16,0,15,0,9,12,0,0,10,10,12,0,0,6,0,0,22,11,0,0,13,23,13,0,0,12,11,0
D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Chloroplast;D_4__Heterosigma akashiwo;D_5__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,40,32,84,68,0,31,0,0,0,61,39,0,0,0,17,0,17,0,0,47,0,45,24,0,0,62,0,32,0,0,0,0,71,0,0,0,0,0,0,0,12,0,0,23,0,0,0,0,0,0,0,0,27,0,16,0,46,89,32,0
D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Chloroplast;D_4__Trachelomonas rugulosa;D_5__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14,24,0,17,16,0,0,46,32,31,0,0,5,47,0,0,25,0,0,0,0,0,36,0,25,12,14,0,36,27,7,0,0,0,10,10,8,0,4,11,0,0,0,0,0,44,31,11,26,23,57,30,14,32,31,75,33,0,0,0
D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Ruminococcaceae;D_5__uncultured,0,0,0,0,3,63,151,0,57,104,16,19,217,19,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales;D_4__Saprospiraceae;D_5__Haliscomenobacter,0,6,0,0,5,0,0,3,0,0,0,10,0,4,0,0,22,51,0,0,29,34,19,40,25,34,68,31,0,28,44,31,16,16,21,29,15,29,30,35,46,53,28,27,31,46,56,42,36,17,51,25,19,24,26,26,51,30,20,21,28,23,62,55,39,63,53,48,31,52,31,29,58,21,16,11,0
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Frankiales;D_4__Sporichthyaceae;D_5__hgcI clade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,10,0,0,16,0,0,0,0,0,6,0,0,0,10,0,0,0,11,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,5,0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales;D_4__Saprospiraceae;D_5__Candidatus Aquirestis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Gammaproteobacteria Incertae Sedis;D_4__Unknown Family;D_5__uncultured gamma proteobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,34,33,47,0,4,0,18,0,0,11,0,5,13,12,0,8,0,0,0,0,0,0,23,70,0,35,34,19,75,0,12,0,20,0,14,0,25,26,0,16,46,51,0,0,46,0,36,58,12,94,0,29,38,17,44,0,0,25,0
D_0__Bacteria;D_1__Verrucomicrobia;D_2__Verrucomicrobiae;D_3__Chthoniobacterales;D_4__Terrimicrobiaceae;D_5__Terrimicrobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Flavobacteriaceae;D_5__Flavobacterium,0,0,0,0,24,38,4,0,0,0,7,0,47,11,0,0,40,14,12,7,0,0,0,21,30,13,10,9,42,7,0,20,0,14,25,16,2,14,0,13,15,0,14,9,11,66,0,9,13,12,37,18,22,16,6,12,43,17,0,0,0,9,22,8,0,17,44,15,20,0,0,39,14,3,9,0,0
