index,D_0__Bacteria;D_1__Cyanobacteria,D_0__Bacteria;D_1__Proteobacteria,D_0__Bacteria;D_1__Bacteroidetes,D_0__Bacteria;D_1__Verrucomicrobia,D_0__Bacteria;D_1__Firmicutes,D_0__Bacteria;D_1__Actinobacteria,D_0__Bacteria;D_1__Planctomycetes,D_0__Bacteria;D_1__Chloroflexi,D_0__Bacteria;D_1__Acidobacteria,D_0__Bacteria;D_1__Omnitrophicaeota,D_0__Archaea;D_1__Euryarchaeota,D_0__Bacteria;D_1__Latescibacteria,D_0__Bacteria;D_1__Chlamydiae,D_0__Archaea;D_1__Nanoarchaeaeota,D_0__Bacteria;D_1__Patescibacteria,D_0__Bacteria;D_1__Nitrospirae,D_0__Bacteria;D_1__Rokubacteria,D_0__Bacteria;D_1__Dependentiae,D_0__Bacteria;D_1__Epsilonbacteraeota,D_0__Bacteria;D_1__Fibrobacteres,D_0__Bacteria;__,D_0__Bacteria;D_1__Gemmatimonadetes,D_0__Bacteria;D_1__LCP-89,D_0__Bacteria;D_1__Spirochaetes,D_0__Bacteria;D_1__Elusimicrobia,D_0__Bacteria;D_1__Cloacimonetes,D_0__Bacteria;D_1__Armatimonadetes,D_0__Bacteria;D_1__Zixibacteria,D_0__Bacteria;D_1__Margulisbacteria,D_0__Bacteria;D_1__Kiritimatiellaeota,D_0__Bacteria;D_1__Lentisphaerae,D_0__Bacteria;D_1__TA06,D_0__Bacteria;D_1__Deinococcus-Thermus,D_0__Bacteria;D_1__WOR-1,D_0__Bacteria;D_1__FCPU426,D_0__Archaea;D_1__Thaumarchaeota,D_0__Bacteria;D_1__Hydrogenedentes,D_0__Bacteria;D_1__Modulibacteria,D_0__Bacteria;D_1__Fusobacteria,D_0__Bacteria;D_1__Acetothermia,barcode-sequence,sample-type,pond-name,sample-location,sample-depth,time-of-day,dna-elution-vol,dna-concentration,dna-qual
S6,245,770,180,52,258,0,2,65,72,51,0,17,7,0,15,23,0,6,0,0,12,0,0,3,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,,sediment,Wye,,,,75,11.8,1.94
S7,253,990,806,139,219,43,5,277,53,36,0,0,2,2,31,0,19,15,0,3,2,9,0,7,9,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,,sediment,Wye,,,,75,7.8,2.07
S8,918,332,168,8,1242,42,22,57,4,10,2,0,7,0,59,0,0,4,5,0,3,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,,sediment,Wye,,,,75,22.6,1.93
S9,254,952,726,150,301,44,13,272,49,44,44,25,2,21,9,8,0,17,0,2,10,0,0,7,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,sediment,Wye,,,,75,6.5,2.09
Sed-blank-DIW,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,control_neg,,,,,75,1.17,2.06
Sed-blank-filter,135,100,46,8,0,0,4,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,control_neg,,,,,75,1.37,1.06
W1,544,443,291,90,8,0,10,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,water,Wye,1,1,9,75,44.8,1.98
W10,533,376,387,31,0,19,0,14,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,water,Wye,6,1,9,75,40.3,2.05
W11,345,522,185,49,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,water,Wye,7,1,9,75,86.4,2
W12,585,474,163,54,2,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,water,Wye,8,1,9,75,67.5,2.02
W13,564,651,302,70,2,20,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,water,Wye,8,2,9,75,68.6,2.07
W14,588,590,395,112,15,0,0,25,17,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,water,Wye,8,3,9,75,36.7,2.02
W15,599,574,240,94,2,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,water,Wye,9,1,9,75,39.4,2.06
W16,710,854,392,90,0,23,0,20,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,water,Wye,10,1,9,75,35.2,1.96
W17,924,679,364,60,0,0,22,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,water,Wye,11,1,9,75,56.1,1.86
W18,798,545,444,136,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,water,Wye,11,2,9,75,38.6,1.97
W19,836,615,537,120,5,15,15,15,11,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,water,Wye,11,3,9,75,31.7,1.97
W2,458,417,233,76,7,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,water,Wye,2,1,9,75,48,2.03
W20,854,235,169,7,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,water,Wye,12,1,9,75,39.8,1.94
W21,668,634,334,102,0,0,0,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,water,Wye,1,1,12,75,27.3,2.03
W22,972,727,460,122,0,15,21,16,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,water,Wye,2,1,12,75,29.6,1.96
W23,648,828,470,119,5,0,21,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,water,Wye,2,2,12,75,21.8,1.99
W24,645,707,338,99,11,29,0,18,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,water,Wye,2,3,12,75,26.09,1.92
W25,551,563,250,67,0,15,0,8,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,water,Wye,3,1,12,75,30.3,1.99
W26,1021,337,250,88,16,0,26,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,water,Wye,4,1,12,75,16.07,2.05
W27,453,746,259,121,2,45,0,13,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,water,Wye,5,1,12,75,51.79,1.95
W28,724,626,331,137,0,0,16,26,2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,water,Wye,5,2,12,75,33.44,1.87
W29,491,1017,389,158,14,0,31,23,15,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,water,Wye,5,3,12,75,30.29,1.92
W3,621,484,375,86,5,14,0,11,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,water,Wye,2,2,9,75,32.8,2.14
W30,777,818,492,43,0,35,3,27,8,0,0,0,0,0,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,water,Wye,6,1,12,75,26.36,1.99
W31,854,735,435,93,14,13,26,16,0,2,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,water,Wye,7,1,12,75,14.82,2
W32,855,886,405,92,3,58,15,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,water,Wye,8,1,12,75,99.99,1.92
W33,653,918,505,144,0,17,0,26,16,0,0,0,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,water,Wye,8,2,12,75,23.75,1.94
W34,812,845,343,110,14,49,2,29,15,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,water,Wye,8,3,12,75,34.01,1.94
W35,824,708,325,122,11,30,0,30,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,water,Wye,9,1,12,75,61.87,1.92
W36,1191,636,438,86,18,14,7,28,0,2,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,water,Wye,10,1,12,75,22,1.94
W37,1026,830,347,74,51,56,17,28,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,water,Wye,11,1,12,75,29.07,1.96
W38,695,996,538,211,6,34,6,22,0,2,0,0,2,0,16,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,water,Wye,11,2,12,75,22.81,1.93
W39,858,849,477,128,26,0,0,34,16,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,water,Wye,11,3,12,75,22.32,1.92
W4,667,607,279,112,0,19,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,water,Wye,2,3,9,75,29.8,2.12
W40,851,747,335,76,13,35,36,27,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,water,Wye,12,1,12,75,26.86,1.94
W41,471,993,491,86,0,39,0,21,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,water,Wye,1,1,15,75,36.7,1.63
W42,615,595,289,65,14,0,0,12,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,water,Wye,2,1,15,75,43.55,1.97
W43,856,1180,653,69,9,16,52,21,20,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,water,Wye,2,2,15,75,26.89,1.94
W44,553,846,379,139,4,18,24,21,9,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,water,Wye,2,3,15,75,27.85,1.9
W45,485,602,201,80,11,47,0,11,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,water,Wye,3,1,15,75,61.28,1.93
W46,695,789,330,73,20,20,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,water,Wye,4,1,15,75,32.32,1.95
W47,739,736,298,71,14,51,21,14,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,water,Wye,5,1,15,75,38.15,1.9
W48,770,1236,419,194,0,41,6,22,14,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,water,Wye,5,2,15,75,28.9,1.86
W49,946,1060,400,184,16,68,16,26,13,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,water,Wye,5,3,15,75,30.62,1.88
W5,586,453,253,71,9,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,water,Wye,3,1,9,75,24.7,2.15
W50,682,774,184,20,14,14,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,water,Wye,6,1,15,75,105.34,1.9
W51,1298,808,475,110,13,74,11,25,0,3,2,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,water,Wye,7,1,15,75,39.22,1.89
W52,937,915,415,51,15,14,34,19,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,water,Wye,8,1,15,75,153.82,1.9
W53,1086,1309,588,140,4,77,18,56,14,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,water,Wye,8,2,15,75,21.14,1.83
W54,1087,1384,616,198,39,54,37,56,13,2,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,water,Wye,8,3,15,75,27.57,1.89
W55,817,1149,598,123,3,90,43,28,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,water,Wye,9,1,15,75,65.34,1.9
W56,1241,814,456,83,2,44,4,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,water,Wye,10,1,15,75,44.96,1.89
W57,954,602,360,105,9,27,2,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,water,Wye,11,1,15,75,38.62,1.85
W58,814,536,466,174,7,21,0,15,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,water,Wye,11,2,15,75,24.54,1.86
W59,1119,843,589,143,7,17,12,27,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,water,Wye,11,3,15,75,14.59,1.9
W6,502,438,424,103,8,10,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,water,Wye,4,1,9,75,80,2.04
W60,1104,954,340,96,14,7,20,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,water,Wye,12,1,15,75,47.53,1.9
W7,458,460,248,88,13,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,water,Wye,5,1,9,75,71.1,2.03
W8,670,343,167,45,0,22,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,water,Wye,5,2,9,75,32.1,2.12
W9,390,603,332,87,0,5,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,water,Wye,5,3,9,75,44.3,2.02
Zymo-Pos-Ctrl,0,246,0,0,455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,control_pos,,,,,,50,
