index,NC2,NC3,NC4,PCR-blank,S10,S11,S2,S3,S4,S5,S6,S7,S8,S9,Sed-blank-DIW,Sed-blank-filter,W1,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W2,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W3,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W4,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W5,W50,W51,W52,W53,W54,W55,W56,W57,W58,W59,W6,W60,W7,W8,W9,Zymo-Pos-Ctrl
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales;D_4__Saprospiraceae,0,18,0,0,5,0,0,3,0,0,2,18,0,7,0,0,44,72,9,0,39,67,19,50,37,56,92,45,0,57,81,71,16,28,21,36,41,49,62,77,68,77,65,47,51,61,63,57,65,40,75,60,39,84,59,37,53,40,48,62,34,41,76,73,61,105,100,76,42,66,83,40,75,21,24,23,0
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Frankiales;D_4__Sporichthyaceae,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,20,0,0,15,0,0,0,0,0,0,15,0,13,0,0,13,0,0,10,14,0,16,0,0,24,0,0,29,0,19,0,10,0,0,0,11,0,0,24,17,0,0,0,0,13,25,58,11,0,0,17,10,0,0,22,5,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Gammaproteobacteria Incertae Sedis;D_4__Unknown Family,0,0,0,0,6,2,2,0,0,0,0,0,0,0,0,0,0,32,34,33,52,0,4,18,18,0,0,11,0,5,13,12,0,8,0,0,2,0,0,0,23,75,0,35,34,22,81,0,12,0,22,0,14,0,25,26,0,16,49,51,0,0,46,0,39,58,12,104,5,29,38,17,44,0,0,25,0
D_0__Bacteria;D_1__Verrucomicrobia;D_2__Verrucomicrobiae;D_3__Chthoniobacterales;D_4__Terrimicrobiaceae,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,12,18,0,0,0,13,12,8,0,0,2,0,8,9,9,16,16,7,0,0,18,0,0,0,0,0,0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Flavobacteriaceae,0,0,0,0,24,41,4,0,0,0,7,10,47,11,0,0,40,14,12,7,0,0,0,21,30,13,10,9,42,7,0,20,0,14,25,16,2,14,0,13,15,0,14,9,11,66,0,9,13,12,37,18,22,16,6,12,43,17,0,0,0,9,22,8,0,17,44,15,20,0,0,39,14,3,9,0,0
D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Nostocales;D_4__Nostocaceae,0,33,0,0,4,36,0,0,0,25,0,24,0,42,0,0,0,11,0,7,0,0,0,84,97,0,0,0,86,45,42,0,0,13,77,13,9,7,10,42,26,42,23,15,36,113,100,32,23,8,67,0,22,17,6,0,34,14,16,19,15,0,65,19,19,0,8,37,51,50,42,0,35,0,0,5,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales;D_4__Rhodocyclaceae,0,0,0,0,0,23,53,81,110,54,40,153,28,52,0,0,0,12,0,0,0,0,0,0,14,0,0,15,0,0,19,0,30,0,0,0,23,50,14,14,0,0,32,0,0,0,0,19,0,17,13,0,0,33,26,0,0,0,38,37,10,0,0,0,44,34,0,0,0,0,0,0,0,18,23,45,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rickettsiales;D_4__Rickettsiaceae,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,0,24,21,33,15,21,30,22,0,20,31,29,21,0,32,0,17,0,23,8,18,0,23,0,0,0,44,30,0,36,36,62,0,0,11,11,53,31,22,18,44,57,25,0,0,0,49,18,40,0,44,61,24,29,0,30,24,44,22,11,8,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Acetobacterales;D_4__Acetobacteraceae,0,0,0,0,0,0,0,0,0,0,16,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,30,24,0,4,20,17,0,15,0,20,0,26,44,25,17,0,0,40,0,0,28,8,47,0,0,32,0,0,0,32,25,24,0,32,37,21,29,38,28,0,2,0,16,25,31,0,0,9,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade III,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Verrucomicrobia;D_2__Verrucomicrobiae;D_3__Verrucomicrobiales;D_4__Rubritaleaceae,0,0,0,0,0,0,27,0,12,18,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,11,0,0,0,0,0,0,0,7,0,9,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,5,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0
D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Bacillales;D_4__Bacillaceae,0,0,0,0,38,241,249,54,88,162,91,78,160,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,79
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Cellvibrionales;D_4__Cellvibrionaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,7,0,0,0,11,0,0,0,0,0,0,0,5,0,11,15,14,0,2,0,0,0,0,0,0,6,18,23,0,0,0,0,18,13,0,0,0,14,0,4,0,0,0,0,0
D_0__Bacteria;D_1__Planctomycetes;D_2__Planctomycetacia;D_3__Pirellulales;D_4__Pirellulaceae,0,0,0,0,7,4,0,0,0,12,0,2,19,6,0,4,10,0,0,10,3,0,0,0,22,0,15,13,0,0,21,21,0,0,26,0,16,31,0,0,26,15,0,0,0,7,12,6,0,0,32,0,0,52,24,0,6,14,6,16,0,0,6,34,18,34,43,4,0,0,12,4,20,0,0,0,0
D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Chloroplast;D_4__Oocystis solitaria,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,16,0,0,15,14,14,0,0,0,56,54,65,0,0,0,54,50,0,0,0,0,0,0,46,66,0,53,0,65,0,0,20,0,0,0,0,0,0,0,0,0,41,0,39,88,33,35,65,42,0,68,0,59,42,0,101,20,77,0,0,0,0
